time,s,E1,i,E1---s,E2---i,p,E2
48367184,1530,30,392,0,0,78,50
48639950,1528,29,392,1,0,79,50
48749640,1526,30,395,0,0,79,50
48889372,1523,29,397,1,0,79,50
48940930,1524,30,396,0,0,80,50
49122336,1523,30,395,0,1,81,49
49672100,1522,30,395,0,0,83,50
49845028,1520,30,396,0,1,83,49
50198010,1518,30,398,0,0,84,50
50584490,1515,29,400,1,0,84,50
50602684,1514,30,402,0,0,84,50
50794532,1513,30,401,0,1,85,49
50967176,1511,30,403,0,0,86,50
51119240,1509,29,403,1,0,87,50
51310950,1507,30,406,0,0,87,50
51698684,1505,30,407,0,1,87,49
51830852,1503,30,409,0,0,88,50
52025916,1502,30,409,0,1,88,49
52118132,1500,30,411,0,0,89,50
52441790,1498,29,412,1,0,89,50
52489576,1497,30,414,0,0,89,50
52745150,1495,29,414,1,0,90,50
52820852,1495,30,413,0,0,92,50
53278350,1492,29,415,1,0,92,50
53353456,1490,30,418,0,0,92,50
53485520,1488,29,419,1,0,92,50
53641930,1487,30,420,0,0,93,50
53731224,1485,29,421,1,0,93,50
53744650,1484,30,422,0,0,94,50
54071540,1482,30,423,0,1,94,49
54237844,1480,30,425,0,0,95,50
54384452,1478,29,425,1,0,96,50
54433070,1476,30,428,0,0,96,50
54672896,1475,30,428,0,1,96,49
54835924,1473,30,430,0,0,97,50
54915190,1473,30,427,0,1,99,49
55174916,1471,30,429,0,0,100,50
55404020,1470,29,427,1,0,102,50
55450604,1469,30,428,0,0,103,50
55721596,1468,30,427,0,1,104,49
55902540,1467,30,427,0,0,106,50
56206270,1465,29,427,1,0,107,50
56371940,1465,30,426,0,0,109,50
56527040,1463,29,426,1,0,110,50
56624172,1462,30,427,0,0,111,50
56910468,1459,29,429,1,0,111,50
57059250,1458,30,430,0,0,112,50
57285972,1455,29,432,1,0,112,50
57423496,1453,30,435,0,0,112,50
57773824,1450,29,437,1,0,112,50
57787296,1449,30,438,0,0,113,50
57943132,1446,29,440,1,0,113,50
58060652,1444,30,443,0,0,113,50
58288496,1442,30,444,0,1,113,49
58320390,1442,30,442,0,0,116,50
58522364,1439,29,444,1,0,116,50
58610116,1439,30,443,0,0,118,50
58683756,1436,29,445,1,0,118,50
58797612,1435,30,447,0,0,118,50
58909492,1432,29,449,1,0,118,50
59098564,1430,30,452,0,0,118,50
59178400,1429,29,451,1,0,119,50
59492496,1428,30,452,0,0,120,50
59589516,1425,29,454,1,0,120,50
59713324,1425,30,454,0,0,121,50
59766284,1423,29,455,1,0,121,50
60045304,1422,30,456,0,0,122,50
60514476,1420,29,457,1,0,122,50
60628410,1419,30,458,0,0,123,50
60766596,1418,30,457,0,1,124,49
60890932,1417,30,457,0,0,126,50
61028596,1416,30,456,0,1,127,49
61103372,1414,30,458,0,0,128,50
61480976,1411,29,460,1,0,128,50
61568708,1411,30,459,0,0,130,50
61711540,1409,29,459,1,0,131,50
61905252,1410,30,459,0,0,131,50
62114690,1407,29,461,1,0,131,50
62480268,1405,30,464,0,0,131,50
62729604,1405,30,462,0,1,132,49
62785388,1405,30,461,0,0,134,50
62863330,1403,29,461,1,0,135,50
63085716,1402,30,462,0,0,136,50
63431564,1400,29,462,1,0,137,50
63578092,1399,30,463,0,0,138,50
63682110,1397,29,463,1,0,139,50
63946444,1397,30,462,0,0,141,50
64253652,1395,29,463,1,0,141,50
64430304,1393,30,466,0,0,141,50
64845050,1391,29,466,1,0,142,50
64995890,1390,30,468,0,0,142,50
65177560,1388,30,469,0,1,142,49
65272204,1387,30,470,0,0,143,50
65395480,1386,29,469,1,0,144,50
65623140,1385,30,470,0,0,145,50
65923012,1382,29,472,1,0,145,50
65974724,1381,30,474,0,0,145,50
66166900,1378,29,476,1,0,145,50
66315704,1378,30,476,0,0,146,50
66492150,1377,29,475,1,0,147,50
66543692,1376,30,476,0,0,148,50
66655190,1374,29,477,1,0,148,50
66745076,1372,30,480,0,0,148,50
66810776,1371,29,479,1,0,149,50
67272290,1369,30,482,0,0,149,50
67558120,1367,29,483,1,0,149,50
67708750,1365,30,486,0,0,149,50
67808440,1362,29,488,1,0,149,50
67934400,1362,30,488,0,0,150,50
68108344,1359,29,490,1,0,150,50
68331624,1358,30,491,0,0,151,50
68526410,1357,29,489,1,0,153,50
68708310,1356,30,490,0,0,154,50
68826184,1354,30,491,0,1,154,49
68863120,1352,30,494,0,0,154,50
69213270,1352,30,491,0,1,156,49
69558110,1352,30,489,0,0,159,50
69918840,1350,29,489,1,0,160,50
70277780,1349,30,490,0,0,161,50
70423224,1347,29,490,1,0,162,50
70543224,1346,30,491,0,0,163,50
70623460,1343,29,493,1,0,163,50
70703140,1342,30,494,0,0,164,50
70840470,1341,30,493,0,1,165,49
70956264,1340,30,493,0,0,167,50
71079730,1339,29,491,1,0,169,50
71487624,1339,30,491,0,0,170,50
71717290,1336,29,493,1,0,170,50
72083320,1334,30,496,0,0,170,50
72273360,1333,29,494,1,0,172,50
72359816,1333,30,494,0,0,173,50
72507930,1330,29,496,1,0,173,50
72614050,1329,30,497,0,0,174,50
72831450,1327,30,498,0,1,174,49
73270290,1326,30,498,0,0,176,50
73515096,1324,30,499,0,1,176,49
73703930,1322,30,501,0,0,177,50
73839480,1320,29,501,1,0,178,50
73898880,1319,30,502,0,0,179,50
74012240,1317,29,502,1,0,180,50
74121300,1315,30,505,0,0,180,50
74303370,1312,29,507,1,0,180,50
74445400,1311,30,508,0,0,181,50
74712216,1309,30,509,0,1,181,49
74962350,1308,30,509,0,0,183,50
75254630,1305,29,511,1,0,183,50
75408180,1303,30,514,0,0,183,50
75680740,1300,29,516,1,0,183,50
75899210,1298,30,519,0,0,183,50
76359040,1295,29,521,1,0,183,50
76465550,1293,30,524,0,0,183,50
76740136,1292,30,523,0,1,184,49
77035930,1291,30,523,0,0,186,50
77133150,1290,29,522,1,0,187,50
77257120,1288,30,525,0,0,187,50
77489990,1285,29,527,1,0,187,50
77539800,1284,30,528,0,0,188,50
77721070,1283,30,527,0,1,189,49
77806580,1282,30,527,0,0,191,50
78089750,1280,29,527,1,0,192,50
78279700,1279,30,528,0,0,193,50
78508790,1278,30,527,0,1,194,49
78818800,1276,30,529,0,0,195,50
78942830,1273,29,531,1,0,195,50
79075190,1272,30,532,0,0,196,50
79203870,1269,29,534,1,0,196,50
79380790,1268,30,535,0,0,197,50
79468400,1266,29,535,1,0,198,50
79694860,1266,30,534,0,0,200,50
79802850,1265,29,533,1,0,201,50
79833304,1264,30,534,0,0,202,50
80101410,1262,29,534,1,0,203,50
80300990,1262,30,534,0,0,204,50
80434890,1260,29,534,1,0,205,50
80699090,1260,30,533,0,0,207,50
80869850,1257,29,535,1,0,207,50
81240440,1256,30,536,0,0,208,50
81491256,1254,30,537,0,1,208,49
82135150,1252,30,539,0,0,209,50
82396250,1251,29,537,1,0,211,50
82607980,1250,30,538,0,0,212,50
82941130,1247,29,540,1,0,212,50
82997790,1246,30,541,0,0,213,50
83047930,1243,29,543,1,0,213,50
83081420,1242,30,544,0,0,214,50
83311144,1240,29,545,1,0,214,50
83353864,1240,30,545,0,0,215,50
83464110,1237,29,547,1,0,215,50
83679630,1236,30,548,0,0,216,50
83928830,1236,30,545,0,1,218,49
84240290,1235,30,545,0,0,220,50
84518090,1232,29,547,1,0,220,50
84620504,1230,30,550,0,0,220,50
84716040,1229,30,549,0,1,221,49
84926990,1227,30,551,0,0,222,50
85024190,1226,29,549,1,0,224,50
85102360,1225,30,550,0,0,225,50
